Rank,Institution or organization,Campus,Contact,Title,Contact category,Expected usefulness,Opportunity,Opportunity tier,Opportunity score,Best outreach channel,Email,Phone,Reason to contact,Suggested opening angle,Desired outcome,Backup contact,Source,Date verified
63,Saskatchewan Apprenticeship and Trade Certification Commission,Province-wide apprenticeship system,Saskatchewan Apprenticeship and Trade Certification Commission Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Celebration Dinner Events/Sponsorship team,https://saskapprenticeship.ca/,2026-06-26
64,Saskatoon Business College,Saskatoon campus,Saskatoon Business College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Student Services / Administration,https://sbccollege.ca/,2026-06-26
65,Academy of Learning Career College — Saskatchewan locations,Current active Saskatchewan locations require confirmation,Academy of Learning Career College — Saskatchewan locations Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Local Campus Director / Student Services,https://www.academyoflearning.com/,2026-06-26
66,University of Saskatchewan,Saskatoon,College of Law Associate Dean Academic Office,Faculty student-services contact,Faculty ceremony contact,STRONG,Request current faculty ceremony organizer,Tier 2,81,Email,ada.law@usask.ca,306-966-5756,"Can identify pinning, white-coat, awards or receptions",Focus on Law ceremonies separate from main convocation,Request current faculty ceremony organizer,USask Convocation,https://students.usask.ca/academics/graduation.php,2026-06-26
67,Great Plains College,Swift Current,Mackenzie Veason,Recruitment Coordinator,Student organization contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,80,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-778-5480,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://www.greatplainscollege.ca/experience-gpc/student-associations,2026-06-26
68,University of Regina Graduate Students’ Association,U of R,University of Regina GSA General Office,General organization contact,Student organization contact,STRONG,Request current events owner,Tier 2,79,Email,urgsa@ureginagsa.com,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Stable route to current executives,Ask for current leadership confirmation,Request current events owner,VP Student Life,https://www.ureginagsa.com/urgsa-executives-details,2026-06-26
69,Saskatchewan Polytechnic,Institution-wide,Jill Gales,Development Officer,Alumni or advancement contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,79,Email,alumni@saskpolytech.ca,306-659-3737,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://alumni.saskpolytech.ca/contact-us,2026-06-26
70,Great Plains College,Warman,Ryan Spence,Student Adviser,Student organization contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,79,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-657-1851,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://www.greatplainscollege.ca/experience-gpc/student-associations,2026-06-26
71,University of Saskatchewan,Saskatoon,College of Education Academic Advising,Faculty student-services contact,Faculty ceremony contact,STRONG,Request current faculty ceremony organizer,Tier 2,79,Email,advising.education@usask.ca,306-966-5756,"Can identify pinning, white-coat, awards or receptions",Focus on Education ceremonies separate from main convocation,Request current faculty ceremony organizer,USask Convocation,https://students.usask.ca/academics/graduation.php,2026-06-26
72,First Nations University of Canada,Regina,Brock Thunder,Powwow contact,Partnership or sponsorship contact,STRONG,Request guidance,Tier 2,78,Email,brockthunder@firstnationsuniversity.ca,306-790-5950,Named public event contact,Ask before proposing products,Request guidance,Powwow Office,https://www.fnunivpowwow.ca/contact,2026-06-26
73,University of Saskatchewan Students’ Union,USask,Jason Ventnor,Communications & Marketing Manager,Student organization contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,78,Email,contactus@ussu.ca,306-966-6973,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://ussu.ca/contact/,2026-06-26
74,Great Plains College,Kindersley,Lana Rhodes,Program Coordinator,Student organization contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,78,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-463-1351,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://www.greatplainscollege.ca/experience-gpc/student-associations,2026-06-26
75,University of Saskatchewan Students’ Union,USask,Morgan Billard,Louis’ Manager,Venue decision-maker,STRONG,"Request the ceremony, event or partnership owner",Tier 2,77,Email,contactus@ussu.ca,306-966-7002,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://ussu.ca/contact/,2026-06-26
76,University of Regina Graduate Students’ Association,U of R,Jaimin Patel,Vice-President External Relations,Student organization contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,77,Email,Urgsa.vpexternalrelations@uregina.ca,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://www.ureginagsa.com/urgsa-executives-details,2026-06-26
77,Saskatchewan Polytechnic,Institution-wide,Amanda Powers,Senior Alumni & Donor Engagement Officer,Alumni or advancement contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,76,Email,alumni@saskpolytech.ca,306-659-3737,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://alumni.saskpolytech.ca/contact-us,2026-06-26
78,Saskatchewan Polytechnic,Institution-wide,Megan Shimla,Development Officer,Alumni or advancement contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,75,Email,alumni@saskpolytech.ca,306-659-3737,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://alumni.saskpolytech.ca/contact-us,2026-06-26
79,Saskatchewan Polytechnic,Institution-wide,Tanya Reynoldson,"Director, Development",Alumni or advancement contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,74,Email,alumni@saskpolytech.ca,306-659-3737,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://alumni.saskpolytech.ca/contact-us,2026-06-26
80,Saskatchewan Polytechnic,Institution-wide,Thomas Gaudet,Development Officer,Alumni or advancement contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,73,Email,alumni@saskpolytech.ca,306-659-3737,Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://alumni.saskpolytech.ca/contact-us,2026-06-26
81,University of Regina Graduate Students’ Association,U of R,Jayveer Chavda,Vice-President Finance,Student organization contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,72,Email,urgsa.vpfinance@uregina.ca,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://www.ureginagsa.com/urgsa-executives-details,2026-06-26
82,University of Saskatchewan,Saskatoon main campus; distributed clinical and research sites,University of Saskatchewan Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,convocation@usask.ca,1-877-650-1212,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Convocation Office — convocation@usask.ca,https://www.usask.ca/,2026-06-26
83,University of Regina,Regina main campus; College Avenue campus; affiliated/federated colleges,University of Regina Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,convocation@uregina.ca,306-585-4584,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Convocation Coordinator — convocation@uregina.ca / 306-585-4584,https://www.uregina.ca/,2026-06-26
84,Saskatchewan Polytechnic,"Saskatoon, Regina, Moose Jaw and Prince Albert",Saskatchewan Polytechnic Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,convocation@saskpolytech.ca,1-866-467-4278,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Convocation Office — convocation@saskpolytech.ca,https://saskpolytech.ca/,2026-06-26
85,Saskatchewan Indian Institute of Technologies,"Saskatoon, Regina, Prince Albert and community delivery",Saskatchewan Indian Institute of Technologies Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-244-4460,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Advancement Office — advancement@siit.ca,https://siit.ca/,2026-06-26
86,First Nations University of Canada,"Regina, Saskatoon and Northern Campus in Prince Albert",First Nations University of Canada Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,convocation@firstnationsuniversity.ca,306-790-5950,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Convocation Office — convocation@firstnationsuniversity.ca,https://www.fnuniv.ca/,2026-06-26
87,Gabriel Dumont Institute,"Multiple centres and programs including SUNTEP, GDC, DTI and Training & Employment",Gabriel Dumont Institute Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,info@gdins.org,1-877-488-6888,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Program graduation routing through info@gdins.org,https://gdins.org/,2026-06-26
88,Carlton Trail College,"Humboldt, Punnichy, Wynyard, Watrous and other sites",Carlton Trail College Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,information@carltontrailcollege.com,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Enrolment Services / Graduation,https://www.carltontrailcollege.com/,2026-06-26
89,Great Plains College,"Swift Current, Warman, Kindersley and other sites",Great Plains College Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",1-866-296-2472,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Student Services / campus program coordinators,https://www.greatplainscollege.ca/,2026-06-26
90,North West College,"Battlefords, Meadow Lake and regional sites",North West College Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-937-5100,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Student Services / Graduation,https://www.northwestcollege.ca/,2026-06-26
91,Northlands College,"La Ronge, Air Ronge, Buffalo Narrows, Creighton, Île-à-la-Crosse and other sites",Northlands College Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-425-4334,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Student Services / Registrar,https://northlandscollege.ca/,2026-06-26
92,Suncrest College,"Yorkton, Melville, Melfort, Tisdale, Nipawin, Canora, Kamsack, Fort Qu’Appelle",Suncrest College Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,info@suncrestcollege.ca,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Graduation Team / Student Services,https://suncrestcollege.ca/,2026-06-26
93,Southeast College,"Assiniboia, Estevan, Indian Head, Moosomin, Weyburn and Whitewood",Southeast College Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Student Services / campus administration,https://www.southeastcollege.org/,2026-06-26
94,St. Thomas More College,USask campus,St. Thomas More College Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",STM Events/Advancement,https://stmcollege.ca/,2026-06-26
95,Campion College,U of R campus,Campion College Advancement / Alumni / Partnerships,Advancement / Alumni / Partnerships,Alumni or advancement contact,STRONG,"Explore graduate gifts, sponsors and referral",Tier 2,72,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Explore graduate gifts, sponsors and referral",Campion Events/Advancement,https://www.campioncollege.ca/,2026-06-26
96,University of Saskatchewan,Saskatoon main campus; distributed clinical and research sites,University of Saskatchewan Student Services / Student Experience,Student Services / Student Experience,Routing contact,STRONG,Request event owner and current student contact,Tier 2,70,Email,convocation@usask.ca,1-877-650-1212,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,Request event owner and current student contact,Convocation Office — convocation@usask.ca,https://www.usask.ca/,2026-06-26
97,University of Regina,Regina main campus; College Avenue campus; affiliated/federated colleges,University of Regina Student Services / Student Experience,Student Services / Student Experience,Routing contact,STRONG,Request event owner and current student contact,Tier 2,70,Email,convocation@uregina.ca,306-585-4584,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,Request event owner and current student contact,Convocation Coordinator — convocation@uregina.ca / 306-585-4584,https://www.uregina.ca/,2026-06-26
98,Saskatchewan Polytechnic,"Saskatoon, Regina, Moose Jaw and Prince Albert",Saskatchewan Polytechnic Student Services / Student Experience,Student Services / Student Experience,Routing contact,STRONG,Request event owner and current student contact,Tier 2,70,Email,convocation@saskpolytech.ca,1-866-467-4278,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,Request event owner and current student contact,Convocation Office — convocation@saskpolytech.ca,https://saskpolytech.ca/,2026-06-26
99,Saskatchewan Indian Institute of Technologies,"Saskatoon, Regina, Prince Albert and community delivery",Saskatchewan Indian Institute of Technologies Student Services / Student Experience,Student Services / Student Experience,Routing contact,STRONG,Request event owner and current student contact,Tier 2,70,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-244-4460,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,Request event owner and current student contact,Advancement Office — advancement@siit.ca,https://siit.ca/,2026-06-26
100,First Nations University of Canada,"Regina, Saskatoon and Northern Campus in Prince Albert",First Nations University of Canada Student Services / Student Experience,Student Services / Student Experience,Routing contact,STRONG,Request event owner and current student contact,Tier 2,70,Email,convocation@firstnationsuniversity.ca,306-790-5950,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,Request event owner and current student contact,Convocation Office — convocation@firstnationsuniversity.ca,https://www.fnuniv.ca/,2026-06-26
