Organization,Missing information,Search attempts,Sources checked,Best person to call,Phone number,Exact question to ask,Priority,Recommended next step
Bishop James Mahoney High School,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gscs.ca/bjm; https://www.gscs.ca/,School administrative office / principal,306-659-7000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Bishop Murray High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gscs.ca/bmu; https://www.gscs.ca/,School administrative office / principal,306-659-7000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
E.D. Feehan Catholic High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gscs.ca/edf; https://www.gscs.ca/,School administrative office / principal,306-659-7000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Holy Cross High School,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gscs.ca/hch; https://www.gscs.ca/,School administrative office / principal,306-659-7000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Oskāyak High School,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gscs.ca/osk; https://www.gscs.ca/,School administrative office / principal,306-659-7000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
St. Joseph High School,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gscs.ca/jos; https://www.gscs.ca/,School administrative office / principal,306-659-7000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Balfour Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,School administrative office / principal,306-523-3000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Campbell Collegiate,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,School administrative office / principal,306-523-3000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
F.W. Johnson Collegiate,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,School administrative office / principal,306-523-3000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Martin Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,School administrative office / principal,306-523-3000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Scott Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,School administrative office / principal,306-523-3000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Sheldon-Williams Collegiate,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,School administrative office / principal,306-523-3000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Thom Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,School administrative office / principal,306-523-3000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Winston Knoll Collegiate,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,School administrative office / principal,306-523-3000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Campus Regina Public,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,School administrative office / principal,306-523-3000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Archbishop M.C. O’Neill Catholic High School,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.rcsd.ca/schools; https://www.rcsd.ca/,School administrative office / principal,306-791-7200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Dr. Martin LeBoldus Catholic High School,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.rcsd.ca/schools; https://www.rcsd.ca/,School administrative office / principal,306-791-7200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Michael A. Riffel Catholic High School,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.rcsd.ca/schools; https://www.rcsd.ca/,School administrative office / principal,306-791-7200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Miller Comprehensive Catholic High School,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.rcsd.ca/schools; https://www.rcsd.ca/,School administrative office / principal,306-791-7200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Carlton Comprehensive High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.srsd119.ca/schools; https://www.srsd119.ca/,School administrative office / principal,306-764-1571,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Prince Albert Collegiate Institute,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.srsd119.ca/schools; https://www.srsd119.ca/,School administrative office / principal,306-764-1571,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Wesmor Public High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.srsd119.ca/schools; https://www.srsd119.ca/,School administrative office / principal,306-764-1571,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
St. Mary High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.pacsd.ca/smhs; https://www.pacsd.ca/,School administrative office / principal,306-953-7500,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
A.E. Peacock Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.prairiesouth.ca/; https://www.prairiesouth.ca/,School administrative office / principal,306-694-1200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Central Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.prairiesouth.ca/; https://www.prairiesouth.ca/,School administrative office / principal,306-694-1200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Riverview Collegiate Institute,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.prairiesouth.ca/; https://www.prairiesouth.ca/,School administrative office / principal,306-694-1200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Vanier Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.htcsd.ca/; https://www.htcsd.ca/,School administrative office / principal,306-694-5333,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
North Battleford Comprehensive High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.livingskysd.ca/; https://www.livingskysd.ca/,School administrative office / principal,306-937-7702,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
John Paul II Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.loccsd.ca/; https://www.loccsd.ca/,School administrative office / principal,306-445-6158,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Sakewew High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.livingskysd.ca/; https://www.livingskysd.ca/,School administrative office / principal,306-937-7702,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Yorkton Regional High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gssd.ca/; https://www.gssd.ca/,School administrative office / principal,306-786-5500,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Sacred Heart High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.christtheteacher.ca/; https://www.christtheteacher.ca/,School administrative office / principal,306-783-8787,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Dreambuilders High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gssd.ca/; https://www.gssd.ca/,School administrative office / principal,306-786-5500,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Canora Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gssd.ca/; https://www.gssd.ca/,School administrative office / principal,306-786-5500,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Kamsack Comprehensive Institute,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gssd.ca/; https://www.gssd.ca/,School administrative office / principal,306-786-5500,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Melville Comprehensive School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gssd.ca/; https://www.gssd.ca/,School administrative office / principal,306-786-5500,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Swift Current Comprehensive High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,School administrative office / principal,306-778-9200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Maverick School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,School administrative office / principal,306-778-9200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Maple Creek Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,School administrative office / principal,306-778-9200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Shaunavon High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,School administrative office / principal,306-778-9200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Leader Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,School administrative office / principal,306-778-9200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Gull Lake School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,School administrative office / principal,306-778-9200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Eastend School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,School administrative office / principal,306-778-9200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Lloydminster Comprehensive High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.lpsd.ca/schools; https://www.lpsd.ca/,School administrative office / principal,780-875-5541,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Holy Rosary High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.lcsd.ca/schools; https://www.lcsd.ca/,School administrative office / principal,780-808-8585,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Warman High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Martensville High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Delisle Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Clavet Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Dalmeny High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Allan Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Rosthern Community School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Hague High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Aberdeen Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Hanley Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,School administrative office / principal,306-683-2800,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Humboldt Collegiate Institute,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,School administrative office / principal,306-682-2558,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Lanigan Central High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,School administrative office / principal,306-682-2558,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Wynyard Composite High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,School administrative office / principal,306-682-2558,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Winston High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,School administrative office / principal,306-682-2558,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Davidson School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,School administrative office / principal,306-682-2558,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Melfort and Unit Comprehensive Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nesd.ca/; https://www.nesd.ca/,School administrative office / principal,306-752-5741,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
L.P. Miller Comprehensive School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nesd.ca/; https://www.nesd.ca/,School administrative office / principal,306-752-5741,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Tisdale Middle and Secondary School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nesd.ca/; https://www.nesd.ca/,School administrative office / principal,306-752-5741,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Hudson Bay Community School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nesd.ca/; https://www.nesd.ca/,School administrative office / principal,306-752-5741,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
