Division ID,Division name,Division type,Headquarters city,Region served,Number of schools,Number of secondary schools,Approximate student population,Official website,Staff directory,Trustee directory,Procurement page,Vendor registration page,Relevant policies,Main office email,Main office phone,Director or superintendent,Operations contact,Procurement contact,Communications contact,Board chair,Main approval route,Opportunity notes,Source URLs,Date verified
DIV-023,Saskatchewan Rivers School Division No. 119,Public school division,Prince Albert,Prince Albert and north-central Saskatchewan,Approximately 33,Approximately 13,"Approximately 8,500",https://www.srsd119.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.srsd119.ca/,Full board-page URL not separately verified in this build; start from https://www.srsd119.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.srsd119.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-764-1571,Neil Finch,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Cher Bloom,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.srsd119.ca/; Full board-page URL not separately verified in this build; start from https://www.srsd119.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-024,Saskatoon School Division No. 13,Public school division,Saskatoon,Saskatoon and Whitecap Dakota Nation,58,10,"Nearly 29,000",https://www.spsd.sk.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.spsd.sk.ca/,https://www.spsd.sk.ca/Board,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.spsd.sk.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-683-8200,Shane Skjerven,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Kim Stranden,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.spsd.sk.ca/; https://www.spsd.sk.ca/Board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-025,South East Cornerstone School Division No. 209,Public school division,Weyburn,Southeast Saskatchewan,Approximately 35,Approximately 15,"Approximately 8,200",https://www.secpsd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.secpsd.ca/,Full board-page URL not separately verified in this build; start from https://www.secpsd.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.secpsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-848-0080,Keith Keating,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Audrey Trombley,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.secpsd.ca/; Full board-page URL not separately verified in this build; start from https://www.secpsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-026,St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,Catholic separate school division,Saskatoon,"Saskatoon, Biggar, Humboldt, Martensville and Warman Catholic communities",Approximately 50,7,"Approximately 23,000",https://www.gscs.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.gscs.ca/,https://www.gscs.ca/page/board-of-education,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.gscs.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-659-7000,François Rivard,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Diane Boyko,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.gscs.ca/; https://www.gscs.ca/page/board-of-education; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-027,Sun West School Division No. 207,Public school division,Rosetown,West-central Saskatchewan,Approximately 42,Approximately 15,"Approximately 4,800",https://www.sunwestsd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.sunwestsd.ca/,https://www.sunwestsd.ca/board,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.sunwestsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-882-2677,Darryl Seguin,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Michele Whitfield,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-028,Saskatoon Tribal Council Education,Indigenous education authority,Saskatoon,Member First Nations in the Saskatoon region,Not a provincially constituted school division; member-school count requires authority confirmation.,Secondary-school count requires confirmation from the authority.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://sktc.sk.ca/,https://sktc.sk.ca/,Not applicable in the same form as a provincial school-division board; leadership/council route applies.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Community, cultural, branding, procurement and event protocols must be confirmed directly with the authority and host First Nation.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Education department administration,Finance/procurement administration,Education or communications department,Governance structure differs; chief/council or authority board referral may apply.,Education-authority and local school/community approval likely; venue and cultural protocol approval may also be required.,Potential culturally significant graduation partnerships require respectful co-design and direct community permission.,https://sktc.sk.ca/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-029,Prince Albert Grand Council Education,Indigenous education authority,Prince Albert,PAGC member First Nations and northern communities,Not a provincially constituted school division; member-school count requires authority confirmation.,Secondary-school count requires confirmation from the authority.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://pagc.sk.ca/,https://pagc.sk.ca/,Not applicable in the same form as a provincial school-division board; leadership/council route applies.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Community, cultural, branding, procurement and event protocols must be confirmed directly with the authority and host First Nation.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Education department administration,Finance/procurement administration,Education or communications department,Governance structure differs; chief/council or authority board referral may apply.,Education-authority and local school/community approval likely; venue and cultural protocol approval may also be required.,Potential culturally significant graduation partnerships require respectful co-design and direct community permission.,https://pagc.sk.ca/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-030,Meadow Lake Tribal Council Education,Indigenous education authority,Meadow Lake,MLTC member First Nations in northwest Saskatchewan,Not a provincially constituted school division; member-school count requires authority confirmation.,Secondary-school count requires confirmation from the authority.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.mltc.net/,https://www.mltc.net/,Not applicable in the same form as a provincial school-division board; leadership/council route applies.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Community, cultural, branding, procurement and event protocols must be confirmed directly with the authority and host First Nation.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Education department administration,Finance/procurement administration,Education or communications department,Governance structure differs; chief/council or authority board referral may apply.,Education-authority and local school/community approval likely; venue and cultural protocol approval may also be required.,Potential culturally significant graduation partnerships require respectful co-design and direct community permission.,https://www.mltc.net/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-031,Lac La Ronge Indian Band Education,First Nation education authority,La Ronge,Lac La Ronge Indian Band communities,Not a provincially constituted school division; member-school count requires authority confirmation.,Secondary-school count requires confirmation from the authority.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://llrib.com/,https://llrib.com/,Not applicable in the same form as a provincial school-division board; leadership/council route applies.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Community, cultural, branding, procurement and event protocols must be confirmed directly with the authority and host First Nation.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Education department administration,Finance/procurement administration,Education or communications department,Governance structure differs; chief/council or authority board referral may apply.,Education-authority and local school/community approval likely; venue and cultural protocol approval may also be required.,Potential culturally significant graduation partnerships require respectful co-design and direct community permission.,https://llrib.com/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-032,Treaty 4 Education Alliance,Indigenous education alliance,Fort Qu’Appelle,Treaty 4 partner First Nations,Not a provincially constituted school division; member-school count requires authority confirmation.,Secondary-school count requires confirmation from the authority.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://t4ea.com/,https://t4ea.com/,Not applicable in the same form as a provincial school-division board; leadership/council route applies.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Community, cultural, branding, procurement and event protocols must be confirmed directly with the authority and host First Nation.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Education department administration,Finance/procurement administration,Education or communications department,Governance structure differs; chief/council or authority board referral may apply.,Education-authority and local school/community approval likely; venue and cultural protocol approval may also be required.,Potential culturally significant graduation partnerships require respectful co-design and direct community permission.,https://t4ea.com/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-033,File Hills Qu’Appelle Tribal Council Education,Indigenous education authority,Fort Qu’Appelle,FHQTC member First Nations,Not a provincially constituted school division; member-school count requires authority confirmation.,Secondary-school count requires confirmation from the authority.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://fhqtc.com/,https://fhqtc.com/,Not applicable in the same form as a provincial school-division board; leadership/council route applies.,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Community, cultural, branding, procurement and event protocols must be confirmed directly with the authority and host First Nation.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Education department administration,Finance/procurement administration,Education or communications department,Governance structure differs; chief/council or authority board referral may apply.,Education-authority and local school/community approval likely; venue and cultural protocol approval may also be required.,Potential culturally significant graduation partnerships require respectful co-design and direct community permission.,https://fhqtc.com/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
