Event ID,School,Division,Event name,Confirmed or estimated date,Ceremony time,Venue,Venue operator,City,Approximate graduates,Estimated attendance,Primary school contact,Venue contact,Existing vendor,Product fit,Approval authority,Opportunity score,Opportunity tier,Recommended next step,Source,Date verified
EVT-032,Prince Albert Collegiate Institute,Saskatchewan Rivers School Division No. 119,Prince Albert Collegiate Institute Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Prince Albert,Estimated 80–400 graduates depending school; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,78,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.srsd119.ca/schools; https://www.srsd119.ca/,2026-06-26
EVT-033,Wesmor Public High School,Saskatchewan Rivers School Division No. 119,Wesmor Public High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Prince Albert,Estimated 80–400 graduates depending school; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,76,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.srsd119.ca/schools; https://www.srsd119.ca/,2026-06-26
EVT-034,St. Mary High School,Prince Albert Roman Catholic Separate School Division No. 6,St. Mary High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Prince Albert,Estimated 150–250 graduates; verify.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,87,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.pacsd.ca/smhs; https://www.pacsd.ca/,2026-06-26
EVT-035,A.E. Peacock Collegiate,Prairie South School Division No. 210,A.E. Peacock Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Moose Jaw,Estimated 70–170 graduates; verify with school.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,84,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.prairiesouth.ca/; https://www.prairiesouth.ca/,2026-06-26
EVT-036,Central Collegiate,Prairie South School Division No. 210,Central Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Moose Jaw,Estimated 70–170 graduates; verify with school.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,82,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.prairiesouth.ca/; https://www.prairiesouth.ca/,2026-06-26
EVT-037,Riverview Collegiate Institute,Prairie South School Division No. 210,Riverview Collegiate Institute Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Moose Jaw,Estimated 70–170 graduates; verify with school.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,72,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.prairiesouth.ca/; https://www.prairiesouth.ca/,2026-06-26
EVT-038,Vanier Collegiate,Holy Trinity Roman Catholic Separate School Division No. 22,Vanier Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Moose Jaw,Estimated 70–170 graduates; verify with school.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,80,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.htcsd.ca/; https://www.htcsd.ca/,2026-06-26
EVT-039,North Battleford Comprehensive High School,Living Sky School Division No. 202,North Battleford Comprehensive High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,North Battleford,Estimated 40–220 graduates; verify.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,86,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.livingskysd.ca/; https://www.livingskysd.ca/,2026-06-26
EVT-040,John Paul II Collegiate,Light of Christ Roman Catholic Separate School Division No. 16,John Paul II Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,North Battleford,Estimated 40–220 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,82,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.loccsd.ca/; https://www.loccsd.ca/,2026-06-26
EVT-041,Sakewew High School,Living Sky School Division No. 202,Sakewew High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,North Battleford,Estimated 40–220 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,72,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.livingskysd.ca/; https://www.livingskysd.ca/,2026-06-26
EVT-042,Yorkton Regional High School,Good Spirit School Division No. 204,Yorkton Regional High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Yorkton,Estimated 30–230 graduates; verify.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,88,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gssd.ca/; https://www.gssd.ca/,2026-06-26
EVT-043,Sacred Heart High School,Christ the Teacher Roman Catholic Separate School Division No. 212,Sacred Heart High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Yorkton,Estimated 30–230 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,84,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.christtheteacher.ca/; https://www.christtheteacher.ca/,2026-06-26
EVT-044,Dreambuilders High School,Good Spirit School Division No. 204,Dreambuilders High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Yorkton,Estimated 30–230 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,62,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gssd.ca/; https://www.gssd.ca/,2026-06-26
EVT-045,Canora Composite School,Good Spirit School Division No. 204,Canora Composite School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Canora,Estimated 30–230 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,70,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gssd.ca/; https://www.gssd.ca/,2026-06-26
EVT-046,Kamsack Comprehensive Institute,Good Spirit School Division No. 204,Kamsack Comprehensive Institute Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Kamsack,Estimated 30–230 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,69,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gssd.ca/; https://www.gssd.ca/,2026-06-26
EVT-047,Melville Comprehensive School,Good Spirit School Division No. 204,Melville Comprehensive School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Melville,Estimated 30–230 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,76,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gssd.ca/; https://www.gssd.ca/,2026-06-26
EVT-048,Swift Current Comprehensive High School,Chinook School Division No. 211,Swift Current Comprehensive High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Swift Current,Estimated 15–220 graduates; verify.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,88,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,2026-06-26
EVT-049,Maverick School,Chinook School Division No. 211,Maverick School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Swift Current,Estimated 15–220 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,58,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,2026-06-26
EVT-050,Maple Creek Composite School,Chinook School Division No. 211,Maple Creek Composite School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Maple Creek,Estimated 15–220 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,72,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,2026-06-26
EVT-051,Shaunavon High School,Chinook School Division No. 211,Shaunavon High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Shaunavon,Estimated 15–220 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,70,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,2026-06-26
EVT-052,Leader Composite School,Chinook School Division No. 211,Leader Composite School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Leader,Estimated 15–220 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,64,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,2026-06-26
EVT-053,Gull Lake School,Chinook School Division No. 211,Gull Lake School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Gull Lake,Estimated 15–220 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,62,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,2026-06-26
EVT-054,Eastend School,Chinook School Division No. 211,Eastend School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Eastend,Estimated 15–220 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,58,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.chinooksd.ca/; https://www.chinooksd.ca/,2026-06-26
EVT-055,Lloydminster Comprehensive High School,Lloydminster School Division No. 99,Lloydminster Comprehensive High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Lloydminster,Estimated 220–350 graduates; verify.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,88,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.lpsd.ca/schools; https://www.lpsd.ca/,2026-06-26
EVT-056,Holy Rosary High School,Lloydminster Roman Catholic Separate School Division No. 89,Holy Rosary High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Lloydminster,Estimated 160–260 graduates; verify.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,85,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.lcsd.ca/schools; https://www.lcsd.ca/,2026-06-26
EVT-057,Warman High School,Prairie Spirit School Division No. 206,Warman High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Warman,Estimated 20–240 graduates; verify.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,88,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
EVT-058,Martensville High School,Prairie Spirit School Division No. 206,Martensville High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Martensville,Estimated 20–240 graduates; verify.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,86,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
EVT-059,Delisle Composite School,Prairie Spirit School Division No. 206,Delisle Composite School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Delisle,Estimated 20–240 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,73,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
EVT-060,Clavet Composite School,Prairie Spirit School Division No. 206,Clavet Composite School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Clavet,Estimated 20–240 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,72,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
EVT-061,Dalmeny High School,Prairie Spirit School Division No. 206,Dalmeny High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Dalmeny,Estimated 20–240 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,72,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
EVT-062,Allan Composite School,Prairie Spirit School Division No. 206,Allan Composite School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Allan,Estimated 20–240 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,64,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
EVT-063,Rosthern Community School,Prairie Spirit School Division No. 206,Rosthern Community School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Rosthern,Estimated 20–240 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,70,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
EVT-064,Hague High School,Prairie Spirit School Division No. 206,Hague High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Hague,Estimated 20–240 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,68,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
